Zip Code,Location,City,Population,Females / Male
10037,"40.813159, -73.937352","New York, New York","16,984",1.42
10021,"40.769742, -73.961653","New York, New York","102,078",1.28
10039,"40.826296, -73.937053","New York, New York","21,737",1.27
10162,"40.769298, -73.949942","New York, New York","1,726",1.22
10028,"40.776865, -73.954721","New York, New York","44,987",1.21
10017,"40.752292, -73.972393","New York, New York","16,201",1.21
10128,"40.781656, -73.950281","New York, New York","59,856",1.2
10022,"40.758615, -73.967752","New York, New York","30,642",1.19
10030,"40.818492, -73.943283","New York, New York","25,847",1.19
10010,"40.739122, -73.982363","New York, New York","26,408",1.19
10038,"40.709336, -74.002943","New York, New York","15,574",1.18
10040,"40.858134, -73.929031","New York, New York","46,599",1.16
10029,"40.792245, -73.945230","New York, New York","75,390",1.15
10025,"40.797958, -73.964917","New York, New York","97,086",1.14
10034,"40.869208, -73.921929","New York, New York","41,756",1.14
10016,"40.744983, -73.978262","New York, New York","51,217",1.14
10009,"40.726622, -73.978955","New York, New York","58,595",1.14
10024,"40.786307, -73.970694","New York, New York","61,414",1.14
10023,"40.775394, -73.982197","New York, New York","62,206",1.13
10069,"40.775551, -73.989689","New York, New York","1,403",1.13
10026,"40.802320, -73.952943","New York, New York","30,377",1.12
10044,"40.762050, -73.949933","New York, New York","9,520",1.11
10027,"40.811407, -73.953564","New York, New York","56,168",1.1
10032,"40.839194, -73.942591","New York, New York","63,842",1.09
10001,"40.750722, -73.997276","New York, New York","17,310",1.08
10031,"40.825857, -73.949451","New York, New York","60,221",1.07
10003,"40.731856, -73.989145","New York, New York","53,673",1.06
10033,"40.849124, -73.935956","New York, New York","58,259",1.06
10002,"40.715952, -73.985870","New York, New York","84,870",1.02
10035,"40.795487, -73.929501","New York, New York","32,702",1.02
10012,"40.725639, -73.998090","New York, New York","26,000",1
10280,"40.708501, -74.016828","New York, New York","6,614",0.99
10019,"40.766331, -73.985013","New York, New York","36,012",0.98
10013,"40.720067, -74.004829","New York, New York","25,042",0.95
10014,"40.733471, -74.007098","New York, New York","32,667",0.94
10011,"40.741844, -74.000711","New York, New York","46,669",0.93
10282,"40.717017, -74.015566","New York, New York","1,574",0.92
10018,"40.754969, -73.992126","New York, New York","4,255",0.8
10165,"40.752131, -73.978722","New York, New York",7,0.75
10036,"40.759614, -73.991148","New York, New York","18,751",0.74
10004,"40.691870, -74.014109","New York, New York","1,225",0.73
10006,"40.707970, -74.013610","New York, New York","1,447",0.67
10005,"40.705390, -74.008988","New York, New York",884,0.67
10007,"40.713973, -74.008336","New York, New York","3,522",0.59
10020,"40.758236, -73.978833","New York, New York",1,0
11239,"40.644728, -73.879186","Brooklyn, New York","14,620",1.4
11212,"40.662907, -73.912969","Brooklyn, New York","85,161",1.31
11233,"40.678089, -73.919867","Brooklyn, New York","61,955",1.3
11225,"40.662236, -73.958951","Brooklyn, New York","63,774",1.27
11213,"40.671034, -73.936357","Brooklyn, New York","65,440",1.26
11203,"40.649411, -73.934397","Brooklyn, New York","84,498",1.26
11236,"40.639761, -73.900640","Brooklyn, New York","96,301",1.24
11226,"40.646430, -73.956866","Brooklyn, New York","106,154",1.24
11207,"40.670361, -73.893848","Brooklyn, New York","86,551",1.23
11224,"40.577257, -73.989762","Brooklyn, New York","51,205",1.22
11216,"40.680854, -73.949144","Brooklyn, New York","55,775",1.2
11221,"40.691310, -73.927772","Brooklyn, New York","76,363",1.17
11210,"40.628049, -73.946278","Brooklyn, New York","62,308",1.17
11238,"40.678424, -73.963874","Brooklyn, New York","48,965",1.16
11205,"40.696771, -73.967061","Brooklyn, New York","35,622",1.16
11206,"40.702037, -73.942444","Brooklyn, New York","69,032",1.16
11231,"40.677916, -74.005154","Brooklyn, New York","32,974",1.15
11234,"40.612540, -73.894255","Brooklyn, New York","86,898",1.15
11208,"40.669598, -73.871270","Brooklyn, New York","87,165",1.12
11229,"40.601293, -73.944493","Brooklyn, New York","80,554",1.11
11228,"40.616863, -74.013196","Brooklyn, New York","41,172",1.1
11235,"40.583552, -73.947900","Brooklyn, New York","77,451",1.09
11215,"40.662688, -73.986740","Brooklyn, New York","63,001",1.09
11214,"40.598668, -73.996212","Brooklyn, New York","83,546",1.09
11209,"40.622352, -74.030431","Brooklyn, New York","69,840",1.09
11223,"40.597427, -73.973039","Brooklyn, New York","77,691",1.09
11217,"40.682306, -73.978099","Brooklyn, New York","35,353",1.08
11204,"40.618675, -73.984893","Brooklyn, New York","74,880",1.06
11230,"40.622104, -73.965118","Brooklyn, New York","88,933",1.05
11218,"40.643783, -73.975954","Brooklyn, New York","74,611",1.03
11211,"40.713507, -73.952578","Brooklyn, New York","85,089",1.03
11237,"40.704160, -73.921139","Brooklyn, New York","48,910",1.02
11219,"40.632769, -73.996642","Brooklyn, New York","85,987",1.02
11220,"40.641307, -74.016251","Brooklyn, New York","92,718",1.01
11222,"40.728367, -73.945427","Brooklyn, New York","39,360",0.98
11201,"40.693682, -73.989693","Brooklyn, New York","47,746",0.98
11232,"40.655827, -74.006829","Brooklyn, New York","27,723",0.89